ID	treat	treat_name	num_pred	N0_het	N0_hypo	N0_pard	N0_lith	N1_het	N1_hypo	N1_pard	N1_lith	B0_het	B0_hypo	B0_pard	B0_lith	B1_het	B1_hypo	B1_pard	B1_lith	B1_miclitt
1	0.0.0.0	null	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.00000	0.000000	0.000000	0.000000	26665.44
2	0.0.0.0	null	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.00000	0.000000	0.000000	0.000000	37068.46
3	0.0.0.0	null	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.00000	0.000000	0.000000	0.000000	32461.78
4	0.0.0.1	control	0	912	0	0	0	12090	0	0	0	0.094700	0.000000	0.000000	0.000000	1.25614	0.000000	0.000000	0.000000	27966.47
5	0.0.0.1	control	0	912	0	0	0	5491	0	0	0	0.094700	0.000000	0.000000	0.000000	0.57051	0.000000	0.000000	0.000000	23190.13
6	0.0.0.1	control	0	912	0	0	0	6583	0	0	0	0.094700	0.000000	0.000000	0.000000	0.68392	0.000000	0.000000	0.000000	31165.12
7	0.0.0.1	control	0	912	0	0	0	5947	0	0	0	0.094700	0.000000	0.000000	0.000000	0.61791	0.000000	0.000000	0.000000	28831.68
8	0.0.0.1	control	0	912	0	0	0	6892	0	0	0	0.094700	0.000000	0.000000	0.000000	0.71610	0.000000	0.000000	0.000000	21562.68
9	0.0.1.1	hypo	1	912	350	0	0	1043	407	0	0	0.094700	0.055000	0.000000	0.000000	0.10835	0.064020	0.000000	0.000000	16657.88
10	0.0.1.1	hypo	1	912	350	0	0	1238	521	0	0	0.094700	0.055000	0.000000	0.000000	0.12866	0.081940	0.000000	0.000000	39935.31
11	0.0.1.1	hypo	1	912	350	0	0	570	961	0	0	0.094700	0.055000	0.000000	0.000000	0.05925	0.151080	0.000000	0.000000	30608.05
12	0.0.1.1	hypo	1	912	350	0	0	179	2574	0	0	0.094700	0.055000	0.000000	0.000000	0.01862	0.404580	0.000000	0.000000	24318.65
13	0.0.1.1	hypo	1	912	350	0	0	1010	1906	0	0	0.094700	0.055000	0.000000	0.000000	0.10496	0.299590	0.000000	0.000000	33692.11
14	0.0.1.1	hypo	1	912	350	0	0	668	554	0	0	0.094700	0.055000	0.000000	0.000000	0.06941	0.087060	0.000000	0.000000	39620.95
15	0.1.0.1	pard	1	912	0	4	0	1385	0	0	0	0.094700	0.000000	0.105250	0.000000	0.14390	0.000000	0.000000	0.000000	29737.94
16	0.1.0.1	pard	1	912	0	4	0	98	0	0	0	0.094700	0.000000	0.090380	0.000000	0.01016	0.000000	0.000000	0.000000	26310.56
17	0.1.0.1	pard	1	912	0	4	0	4041	0	0	0	0.094700	0.000000	0.103560	0.000000	0.41984	0.000000	0.000000	0.000000	25718.32
18	0.1.0.1	pard	1	912	0	4	0	9060	0	0	0	0.094700	0.000000	0.104210	0.000000	0.94126	0.000000	0.000000	0.000000	26254.54
19	0.1.0.1	pard	1	912	0	4	0	21443	0	1	0	0.094700	0.000000	0.104860	0.000000	2.22788	0.000000	0.014910	0.000000	24844.75
20	0.1.0.1	pard	1	912	0	4	0	6013	0	0	0	0.094700	0.000000	0.103850	0.000000	0.62469	0.000000	0.000000	0.000000	29289.57
21	0.1.1.1	ko_lith	2	912	350	4	0	1401	2020	1	0	0.094700	0.055000	0.105280	0.000000	0.14559	0.317520	0.028670	0.000000	23813.60
22	0.1.1.1	ko_lith	2	912	350	4	0	847	880	1	0	0.094700	0.055000	0.107340	0.000000	0.08803	0.138270	0.013070	0.000000	34128.14
23	0.1.1.1	ko_lith	2	912	350	4	0	473	3128	0	0	0.094700	0.055000	0.103410	0.000000	0.04909	0.491640	0.000000	0.000000	30055.39
24	0.1.1.1	ko_lith	2	912	350	4	0	1646	521	1	0	0.094700	0.055000	0.103430	0.000000	0.17098	0.081940	0.016130	0.000000	33220.59
25	0.1.1.1	ko_lith	2	912	350	4	0	375	2607	0	0	0.094700	0.055000	0.092990	0.000000	0.03894	0.409700	0.000000	0.000000	30337.60
26	1.0.0.1	lith	1	912	0	0	2	5263	0	0	1	0.094700	0.000000	0.000000	0.245400	0.54681	0.000000	0.000000	0.133250	25764.55
27	1.0.0.1	lith	1	912	0	0	2	8310	0	0	1	0.094700	0.000000	0.000000	0.251340	0.86339	0.000000	0.000000	0.166480	25681.58
28	1.0.0.1	lith	1	912	0	0	2	4448	0	0	2	0.094700	0.000000	0.000000	0.238610	0.46217	0.000000	0.000000	0.220260	27796.31
